Author,Scopus Author ID,Tags,Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7,Level 8,Level 9,Level 10,Ongoing Correction Request
"Villao-Uzho, Liliana Elizabeth",57188986962,,ESPOL,Centros de Investigación Institucional,CIBE,Analistas de investigación,,,,,,,
"Villavicencio-Vásquez, Mirian Elizabeth",57192254346,,ESPOL,Centros de Investigación Institucional,CIBE,Analistas de investigación,,,,,,,
"Viteri-Espinoza, Rafael Antonio",57218870363,,ESPOL,Centros de Investigación Institucional,CIBE,Analistas de investigación,,,,,,,
"Barcos-Arias, Milton Senen",57203656643,,ESPOL,Centros de Investigación Institucional,CIBE,Profesores,,,,,,,
"Bonilla-Jaime, Julio Andrés",57211376405,,ESPOL,Centros de Investigación Institucional,CIBE,Profesores,,,,,,,
"Cevallos-Cevallos, Juan Manuel",26632840200,Director|Director,ESPOL,Centros de Investigación Institucional,CIBE,Profesores,,,,,,,
"Chong-Aguirre, Pablo Antonio",57200597590,,ESPOL,Centros de Investigación Institucional,CIBE,Profesores,,,,,,,
"Coronel-León, Jonathan Ricardo",56538670900,,ESPOL,Centros de Investigación Institucional,CIBE,Profesores,,,,,,,
"Díez-García, Nardy del Valle",57224005517,,ESPOL,Centros de Investigación Institucional,CIBE,Profesores,,,,,,,
"Galarza-Romer, Luis Lenin",57220962987,,ESPOL,Centros de Investigación Institucional,CIBE,Profesores,,,,,,,
"Magdama-Tobar, Freddy Arturo",57208673500,,ESPOL,Centros de Investigación Institucional,CIBE,Profesores,,,,,,,
"Manzano-Santana, Patricia Isabel",55619354500,,ESPOL,Centros de Investigación Institucional,CIBE,Profesores,,,,,,,
"Quito-Avila, Diego Fernando",36706565100,,ESPOL,Centros de Investigación Institucional,CIBE,Profesores,,,,,,,
"Ratti-Torres, María Fernanda",56014318600,,ESPOL,Centros de Investigación Institucional,CIBE,Profesores,,,,,,,
"Sánchez-Timm, Luis Eduardo",55774563900,,ESPOL,Centros de Investigación Institucional,CIBE,Profesores,,,,,,,
"Santos-Ordóñez, Efrén Germán",57219913136,,ESPOL,Centros de Investigación Institucional,CIBE,Profesores,,,,,,,
"Sosa del Castillo, Daynet",57191692739,,ESPOL,Centros de Investigación Institucional,CIBE,Profesores,,,,,,,
"Rivadeneira, Rafael E.",57210803558,,ESPOL,Centros de Investigación Institucional,CIDIS,Doctorando,,,,,,,
"Suárez, Patricia L.",57194765069,,ESPOL,Centros de Investigación Institucional,CIDIS,Investigadores CIDIS,,,,,,,
"Agila, W.",8905693300,,ESPOL,Centros de Investigación Institucional,CIDIS,Profesores,,,,,,,
"Paillacho, Dennys",56084736200,,ESPOL,Centros de Investigación Institucional,CIDIS,Profesores,,,,,,,
"Realpe, Miguel",23393955200,,ESPOL,Centros de Investigación Institucional,CIDIS,Profesores,,,,,,,
"Sappa, A. D.",6603014642,,ESPOL,Centros de Investigación Institucional,CIDIS,Profesores,,,,,,,
"Vintimilla, Boris X.",6507077933,Director,ESPOL,Centros de Investigación Institucional,CIDIS,Profesores,,,,,,,
"Calderón, Fernanda",57201850102,,ESPOL,Centros de Investigación Institucional,CIDIS,Profesores,,,,,,,
"Paillacho, Jonathan",57215835311,,ESPOL,Centros de Investigación Institucional,CIDIS,Técnicos de investigación,,,,,,,
"Velesaca, Henry O.",57216456457,,ESPOL,Centros de Investigación Institucional,CIDIS,Técnicos de investigación,,,,,,,
