Author,Scopus Author ID,Tags,Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7,Level 8,Level 9,Level 10,Ongoing Correction Request
"Rivadeneyra, Ivan",57222135389,,ESPOL,Unidades Académicas,FCSH,Profesores,,,,,,,
"Rodriguez, Katia",57209714266,,ESPOL,Unidades Académicas,FCSH,Profesores,,,,,,,
"Romero-Montoya, María Elena",57218378468,,ESPOL,Unidades Académicas,FCSH,Profesores,,,,,,,
"Ruano, María Alejandra",57200013837,,ESPOL,Unidades Académicas,FCSH,Profesores,,,,,,,
"Miguel Ruiz, M.",57211658271,,ESPOL,Unidades Académicas,FCSH,Profesores,,,,,,,
"Sabando-Vera, David",57200796168,,ESPOL,Unidades Académicas,FCSH,Profesores,,,,,,,
"Yonfá-Medranda, Marcela",57205759796,,ESPOL,Unidades Académicas,FCSH,Profesores,,,,,,,
"Zanzzi, Fabricio",56986512800,,ESPOL,Unidades Académicas,FCSH,Profesores,,,,,,,
"Méndez Prado, Silvia Mariela",57201256099,,ESPOL,Unidades Académicas,FCSH,Becarios FCSH,,,,,,,
"Nacipucha, David",57194336227,,ESPOL,Unidades Académicas,FCSH,Becarios FCSH,,,,,,,
"Sanchez-Loor, Daniel A.",55898339000,,ESPOL,Unidades Académicas,FCSH,Becarios FCSH,,,,,,,
"Torres-Naranjo, Mónica",57194415648,,ESPOL,Unidades Académicas,FCSH,Becarios FCSH,,,,,,,
"Marcos, Jorge G.",57191885109,,ESPOL,Unidades Académicas,FCSH,CEAA,,,,,,,
"Mongeló, Guilherme Z.",40461869000,,ESPOL,Unidades Académicas,FCSH,CEAA,,,,,,,
"Campoverde, Ronald",57211356171,,ESPOL,Unidades Académicas,FCSH,CIEC,,,,,,,
"Castillo, José Gabriel",57214066569,,ESPOL,Unidades Académicas,FCSH,CIEC,,,,,,,
"Sánchez-Aragón, Leonardo",57194431560,,ESPOL,Unidades Académicas,FCSH,CIEC,,,,,,,
"Sánchez, Gonzalo E.",57191962187,,ESPOL,Unidades Académicas,FCSH,CIEC,,,,,,,
"Solórzano, G.",55963018100,,ESPOL,Unidades Académicas,FCSH,CIEC,,,,,,,
"Yoong-Parraga, Cristina",57216488438,,ESPOL,Unidades Académicas,FCSH,CIEC,,,,,,,
"Espinel, Ramón L.",6506640774,,ESPOL,Unidades Académicas,FCSH,CIR,,,,,,,
"Penafiel, Daniela",52664033100,,ESPOL,Unidades Académicas,FCSH,CIR,,,,,,,
"Rhodes, Lauren A.",57216874311,,ESPOL,Unidades Académicas,FCSH,CIR,,,,,,,
"Villa-Cox, Gonzalo",55553169400,,ESPOL,Unidades Académicas,FCSH,CIR,,,,,,,
"Alava, Eduardo I.",56491014700,,ESPOL,Unidades Académicas,FCV,,,,,,,,
"Barcos-Arias, Milton Senen",57203656643,,ESPOL,Unidades Académicas,FCV,,,,,,,,
"Bonilla, Julio",57211376405,,ESPOL,Unidades Académicas,FCV,,,,,,,,
"Burbano, Roberto Carlos Villavicencio",57222099513,,ESPOL,Unidades Académicas,FCV,,,,,,,,
"Calderón, Fernanda",57201850102,,ESPOL,Unidades Académicas,FCV,,,,,,,,
"Calle, Paola",55668398900,,ESPOL,Unidades Académicas,FCV,,,,,,,,
"Carvajal-Aldaz, Diana G.",57191904256,,ESPOL,Unidades Académicas,FCV,,,,,,,,
"Castillo, María José",57224398122,,ESPOL,Unidades Académicas,FCV,,,,,,,,
"Cevallos-Cevallos, Juan Manuel",26632840200,Director|Director,ESPOL,Unidades Académicas,FCV,,,,,,,,
"Chavez, Eduardo",37024168300,,ESPOL,Unidades Académicas,FCV,,,,,,,,
"Chong, Pablo",57200597590,,ESPOL,Unidades Académicas,FCV,,,,,,,,
"Cordeiro, Fernanda Bertuccez",55353001200,,ESPOL,Unidades Académicas,FCV,,,,,,,,
"Cárdenas, Washington B.",6603402954,,ESPOL,Unidades Académicas,FCV,,,,,,,,
"Domínguez, Gustavo A.",56022634500,,ESPOL,Unidades Académicas,FCV,,,,,,,,
"Díez, Nardy",57224005517,,ESPOL,Unidades Académicas,FCV,,,,,,,,
"Espinoza-Lozano, Lisbeth",57204142509,,ESPOL,Unidades Académicas,FCV,,,,,,,,
"Galarza-Romero, Luis",57220962987,,ESPOL,Unidades Académicas,FCV,,,,,,,,
"Herrera, Paúl A.",16552255100,,ESPOL,Unidades Académicas,FCV,,,,,,,,
"Jimenez-Feijoó, María Isabel",57217651060,,ESPOL,Unidades Académicas,FCV,,,,,,,,
"Magdama, Freddy",57208673500,,ESPOL,Unidades Académicas,FCV,,,,,,,,
"Manzano, Patricia",55619354500,,ESPOL,Unidades Académicas,FCV,,,,,,,,
"Montiel, M.",7005128835,,ESPOL,Unidades Académicas,FCV,,,,,,,,
"Morales, Felix E.",36194228600,,ESPOL,Unidades Académicas,FCV,,,,,,,,
"Orellana-Manzano, Andrea",37089380900,,ESPOL,Unidades Académicas,FCV,,,,,,,,
"Piedrahita, Paolo",37026882700,,ESPOL,Unidades Académicas,FCV,,,,,,,,
"Proaño-Saraguro, Jaime",57224856866,,ESPOL,Unidades Académicas,FCV,,,,,,,,
"Quito-Avila, Diego F.",36706565100,,ESPOL,Unidades Académicas,FCV,,,,,,,,
"Ratti, M. F.",56014318600,,ESPOL,Unidades Académicas,FCV,,,,,,,,
"Reyes Lopez, Mariela Felisa",57226133669,,ESPOL,Unidades Académicas,FCV,,,,,,,,
"Rodríguez, Jenny",7404697073,,ESPOL,Unidades Académicas,FCV,,,,,,,,
"Ruíz, Edwin Rolando Jiménez",57208081632,,ESPOL,Unidades Académicas,FCV,,,,,,,,
"Santos, Adriana",57201857436,,ESPOL,Unidades Académicas,FCV,,,,,,,,
"Santos-Ordóñez, E.",57219913136,,ESPOL,Unidades Académicas,FCV,,,,,,,,
"Sosa, Daynet",57191692739,,ESPOL,Unidades Académicas,FCV,,,,,,,,
"Sánchez Timm, Eduardo",55774563900,,ESPOL,Unidades Académicas,FCV,,,,,,,,
"Tirapé, Ana",8575128700,,ESPOL,Unidades Académicas,FCV,,,,,,,,
"Van Den Hende, Sofie",6504035501,,ESPOL,Unidades Académicas,FCV,,,,,,,,
"Villalba, Ricardo",57205530711,,ESPOL,Unidades Académicas,FCV,,,,,,,,
"Galarza-Villamar, Julissa Alexandra",57203951592,,ESPOL,Unidades Académicas,FCV,Becarios FCV,,,,,,,
"Pontón Cevallos, José",57210445830,,ESPOL,Unidades Académicas,FCV,Becarios FCV,,,,,,,
"Párraga-Lema, Cinthia Mariela",57201851010,,ESPOL,Unidades Académicas,FCV,Becarios FCV,,,,,,,
"Riera-Ruiz, Carlos",56224082200,,ESPOL,Unidades Académicas,FCV,Becarios FCV,,,,,,,
"Yockteng-Melgar, Jaime",57204674802,,ESPOL,Unidades Académicas,FCV,Becarios FCV,,,,,,,
"Moyano, Byron",56719579100,,ESPOL,Unidades Académicas,FCV,Técnicos de investigación,,,,,,,
"Alarcón, Andreina",57204468182,,ESPOL,Unidades Académicas,FICT,,,,,,,,
"Anchundia, Johanna Zambrano",57204842623,,ESPOL,Unidades Académicas,FICT,,,,,,,,
"Arcentales, Danilo",57211357202,,ESPOL,Unidades Académicas,FICT,,,,,,,,
"Arias-Hidalgo, Mijail",36493874100,,ESPOL,Unidades Académicas,FICT,,,,,,,,
"Besenzon, Davide",57199715326,,ESPOL,Unidades Académicas,FICT,,,,,,,,
"Paúl, Carrión Maldonado Freddy",57220073754,,ESPOL,Unidades Académicas,FICT,,,,,,,,
"Carrión-Mero, Paúl",57208038096,,ESPOL,Unidades Académicas,FICT,,,,,,,,
"Egüez Álava, Hugo",7801444145,,ESPOL,Unidades Académicas,FICT,,,,,,,,
"Escobar-Segovia, Kenny",57211353817,,ESPOL,Unidades Académicas,FICT,,,,,,,,
"Falquez, D. A.",57263405500,,ESPOL,Unidades Académicas,FICT,,,,,,,,
"Garces, Daniel",56648306100,,ESPOL,Unidades Académicas,FICT,,,,,,,,
"Garcia-Troncoso, Natividad",57243724200,,ESPOL,Unidades Académicas,FICT,,,,,,,,
"García-Vela, M. T.",57263776600,,ESPOL,Unidades Académicas,FICT,,,,,,,,
"Hidalgo, Samantha",57221700432,,ESPOL,Unidades Académicas,FICT,,,,,,,,
"Jiménez-Oyola, Samantha",57212627942,,ESPOL,Unidades Académicas,FICT,,,,,,,,
"Jiménez-Orellana, Nelson",57218629114,,ESPOL,Unidades Académicas,FICT,,,,,,,,
"Larreta, Erwin",57210441550,,ESPOL,Unidades Académicas,FICT,,,,,,,,
"Lliguizaca-Davila, Jorge",57220076517,,ESPOL,Unidades Académicas,FICT,,,,,,,,
"Loaiza, S.",57262868800,,ESPOL,Unidades Académicas,FICT,,,,,,,,
"Mendoza, Jorge S.",7102491752,,ESPOL,Unidades Académicas,FICT,,,,,,,,
"Merchan-Sanmartín, Bethy",57226634700,,ESPOL,Unidades Académicas,FICT,,,,,,,,
"Montenegro, Galo",56182643100,,ESPOL,Unidades Académicas,FICT,,,,,,,,
"Mulas, Maurizio",55273568900,,ESPOL,Unidades Académicas,FICT,,,,,,,,
"Peña-Carpio, Elizabeth",56662203300,,ESPOL,Unidades Académicas,FICT,,,,,,,,
"Pincay, W.",57211353222,,ESPOL,Unidades Académicas,FICT,,,,,,,,
"Rodríguez, Carlos Raúl",57188682250,,ESPOL,Unidades Académicas,FICT,,,,,,,,
"Rojas, Pedro",57206415452,,ESPOL,Unidades Académicas,FICT,,,,,,,,
"Romero, Paola",57039020600,,ESPOL,Unidades Académicas,FICT,,,,,,,,
"Sanclemente, Eddy",37073229000,,ESPOL,Unidades Académicas,FICT,,,,,,,,
"Valverde, P.",57209340713,,ESPOL,Unidades Académicas,FICT,,,,,,,,
"Vargas-Gutiérrez, Xavier",57211354393,,ESPOL,Unidades Académicas,FICT,,,,,,,,
"Velastegui-Montoya, Andrés",57208080722,,ESPOL,Unidades Académicas,FICT,,,,,,,,
"Vilela, Paulina",57201394172,,ESPOL,Unidades Académicas,FICT,,,,,,,,
"Vitvar, Tomáš",14066709100,,ESPOL,Unidades Académicas,FICT,,,,,,,,
"Agila, W.",8905693300,,ESPOL,Unidades Académicas,FIEC,,,,,,,,
"Alejandro Molina, Otilia Maria",57220185359,,ESPOL,Unidades Académicas,FIEC,,,,,,,,
"Alvarez, María Antonieta",56810259400,,ESPOL,Unidades Académicas,FIEC,,,,,,,,
"Arreaga, Nestor X.",57201854391,,ESPOL,Unidades Académicas,FIEC,,,,,,,,
"Asencio, Jose Luis",57217245534,,ESPOL,Unidades Académicas,FIEC,,,,,,,,
"Avendaño, Allan",56452824600,,ESPOL,Unidades Académicas,FIEC,,,,,,,,
"Aviles, Juan C.",57191971070,,ESPOL,Unidades Académicas,FIEC,,,,,,,,
"Bonilla, Rafael I.",57197990664,,ESPOL,Unidades Académicas,FIEC,,,,,,,,
"Cedeno-Mieles, Vanessa",57204816708,,ESPOL,Unidades Académicas,FIEC,,,,,,,,
"Chavez-Burbano, Patricia",55933475000,,ESPOL,Unidades Académicas,FIEC,,,,,,,,
"Chiluiza, Katherine",55975399800,,ESPOL,Unidades Académicas,FIEC,,,,,,,,
"Collaguazo Jaramillo, Adriana",57209481490,,ESPOL,Unidades Académicas,FIEC,,,,,,,,
"Cordova, Jimmy",57215833527,,ESPOL,Unidades Académicas,FIEC,,,,,,,,
"Cordova-Garcia, Jose",57193746327,,ESPOL,Unidades Académicas,FIEC,,,,,,,,
"Criollo, Ronald",57191225167,,ESPOL,Unidades Académicas,FIEC,,,,,,,,
"Domínguez, Federico",8338734700,CTI |CTI ,ESPOL,Unidades Académicas,FIEC,,,,,,,,
"Endara, Iván",57201686236,,ESPOL,Unidades Académicas,FIEC,,,,,,,,
"Estrada, Rebeca L.",55548968500,CTI |CTI ,ESPOL,Unidades Académicas,FIEC,,,,,,,,
"Falcones, Sixifo",36023483900,,ESPOL,Unidades Académicas,FIEC,,,,,,,,
"Izquierdo, Edgar",38761337600,,ESPOL,Unidades Académicas,FIEC,,,,,,,,
"Marin-Garcia, Ignacio",26633930600,,ESPOL,Unidades Académicas,FIEC,,,,,,,,
"Martín, César A.",55483457600,,ESPOL,Unidades Académicas,FIEC,,,,,,,,
"Mendoza, Luís Eduardo",7006043079,,ESPOL,Unidades Académicas,FIEC,,,,,,,,
"Mera-Gómez, Carlos",57192917757,,ESPOL,Unidades Académicas,FIEC,,,,,,,,
"Monsalve, Carlos",36240865700,,ESPOL,Unidades Académicas,FIEC,,,,,,,,
"Méndez, Gonzalo Gabriel",56725883600,CTI |CTI ,ESPOL,Unidades Académicas,FIEC,,,,,,,,
"Novillo, Francisco",26649094500,,ESPOL,Unidades Académicas,FIEC,,,,,,,,
"Núñez, Alfredo",57202943011,,ESPOL,Unidades Académicas,FIEC,,,,,,,,
"Paillacho, Dennys",56084736200,,ESPOL,Unidades Académicas,FIEC,,,,,,,,
"Peláez, Enrique",57350001200,,ESPOL,Unidades Académicas,FIEC,,,,,,,,
"Ramos, Boris",34168263700,,ESPOL,Unidades Académicas,FIEC,,,,,,,,
"Realpe, Miguel",23393955200,,ESPOL,Unidades Académicas,FIEC,,,,,,,,
"Rengifo, Johnny",55803843500,,ESPOL,Unidades Académicas,FIEC,,,,,,,,
"Rubio, Gomer A.",57205583681,,ESPOL,Unidades Académicas,FIEC,,,,,,,,
"Salcan-Reyes, Gabriela",57205376521,,ESPOL,Unidades Académicas,FIEC,,,,,,,,
"Sanchez Padilla, Vladimir",57223029085,,ESPOL,Unidades Académicas,FIEC,,,,,,,,
"Sappa, A. D.",6603014642,,ESPOL,Unidades Académicas,FIEC,,,,,,,,
"Tapia-Rosero, Ana",55867179100,,ESPOL,Unidades Académicas,FIEC,,,,,,,,
"Tibau, Javier",56779975500,,ESPOL,Unidades Académicas,FIEC,,,,,,,,
"Torres, Miguel A.",57206660598,,ESPOL,Unidades Académicas,FIEC,,,,,,,,
"Urquizo, Javier",56587876500,,ESPOL,Unidades Académicas,FIEC,,,,,,,,
"Vaca-Benavides, David Alejandro",57203634772,,ESPOL,Unidades Académicas,FIEC,,,,,,,,
"Vaca-Urbano, Fernando",57201133241,,ESPOL,Unidades Académicas,FIEC,,,,,,,,
"Velasquez, Washington",57203744720,,ESPOL,Unidades Académicas,FIEC,,,,,,,,
"Vintimilla, Boris X.",6507077933,,ESPOL,Unidades Académicas,FIEC,,,,,,,,
"Alvarez-Alvarado, Manuel S.",57193225079,,ESPOL,Unidades Académicas,FIEC,Becarios FIEC,,,,,,,
"Añazco, Edwin Valarezo",57196190020,,ESPOL,Unidades Académicas,FIEC,Becarios FIEC,,,,,,,
"Cajo, Ricardo",57148422200,,ESPOL,Unidades Académicas,FIEC,Becarios FIEC,,,,,,,
"Cevallos-Valdiviezo, Holger",56595230300,,ESPOL,Unidades Académicas,FIEC,Becarios FIEC,,,,,,,
"Echeverria, Vanessa",56016639400,,ESPOL,Unidades Académicas,FIEC,Becarios FIEC,,,,,,,
"Espinal, Albert",57211387582,,ESPOL,Unidades Académicas,FIEC,Becarios FIEC,,,,,,,
"Galarza, Christian E.",57147632900,,ESPOL,Unidades Académicas,FIEC,Becarios FIEC,,,,,,,
"Gómez, Jorge",57189024928,,ESPOL,Unidades Académicas,FIEC,Becarios FIEC,,,,,,,
"Herrera, Efrén V.",57205126477,,ESPOL,Unidades Académicas,FIEC,Becarios FIEC,,,,,,,
"Luzardo, Gonzalo",55976123500,,ESPOL,Unidades Académicas,FIEC,Becarios FIEC,,,,,,,
"Medina, Washington",57189027020,,ESPOL,Unidades Académicas,FIEC,Becarios FIEC,,,,,,,
"Ortega, Andre P.",35218059800,,ESPOL,Unidades Académicas,FIEC,Becarios FIEC,,,,,,,
"Recalde, Angel Andres",57191481718,,ESPOL,Unidades Académicas,FIEC,Becarios FIEC,,,,,,,
"Rios Orellana, Sara Judith",57220591147,,ESPOL,Unidades Académicas,FIEC,Becarios FIEC,,,,,,,
"Rodríguez, Jorge",57204717075,,ESPOL,Unidades Académicas,FIEC,Becarios FIEC,,,,,,,
"Salazar, Carlos A.",57192643923,,ESPOL,Unidades Académicas,FIEC,Becarios FIEC,,,,,,,
"Valdivieso, Carlos",56891368300,,ESPOL,Unidades Académicas,FIEC,Becarios FIEC,,,,,,,
"Wong-Villacrés, Marisol",39062324300,,ESPOL,Unidades Académicas,FIEC,Becarios FIEC,,,,,,,
"Yánez-Pazmiño, Wendy",57193812485,,ESPOL,Unidades Académicas,FIEC,Becarios FIEC,,,,,,,
"Abad, Cristina L.",22957218500,,ESPOL,Unidades Académicas,FIEC,CTD,,,,,,,
"Ochoa, Daniel",36795354300,,ESPOL,Unidades Académicas,FIEC,CTD,,,,,,,
"Plaza, Douglas Antonio",24829599200,,ESPOL,Unidades Académicas,FIEC,CTD,,,,,,,
"Vaca, Carmen",57201576771,,ESPOL,Unidades Académicas,FIEC,CTD,,,,,,,
"Vargas, German R.",36631075000,,ESPOL,Unidades Académicas,FIEC,CTD,,,,,,,
"Villavicencio, Monica",54914547100,,ESPOL,Unidades Académicas,FIEC,CTD,,,,,,,
"Asanza, Victor",57192640451,,ESPOL,Unidades Académicas,FIEC,Estudiantes de posgrado,,,,,,,
"Boza, Edwin F.",57196238001,,ESPOL,Unidades Académicas,FIEC,Estudiantes de posgrado,,,,,,,
"Chalén, Marjorie",57201590212,,ESPOL,Unidades Académicas,FIEC,Estudiantes de posgrado,,,,,,,
"Charco, Jorge L.",57208394659,,ESPOL,Unidades Académicas,FIEC,Estudiantes de posgrado,,,,,,,
"Cruz, Eduardo",57207568864,,ESPOL,Unidades Académicas,FIEC,Estudiantes de posgrado,,,,,,,
"Fiallos, Angel",57195288805,,ESPOL,Unidades Académicas,FIEC,Estudiantes de posgrado,,,,,,,
"Garcia, Juan Carlos",55757784126,,ESPOL,Unidades Académicas,FIEC,Estudiantes de posgrado,,,,,,,
"Jácome-Galarza, Luis Roberto",57190661994,,ESPOL,Unidades Académicas,FIEC,Estudiantes de posgrado,,,,,,,
"Magallanes, Jorge",57204396161,,ESPOL,Unidades Académicas,FIEC,Estudiantes de posgrado,,,,,,,
"Mendieta, Milton V.",57201689568,,ESPOL,Unidades Académicas,FIEC,Estudiantes de posgrado,,,,,,,
"Quevedo, Sebastian",57215834187,,ESPOL,Unidades Académicas,FIEC,Estudiantes de posgrado,,,,,,,
"Rivadeneira, Rafael E.",57210803558,,ESPOL,Unidades Académicas,FIEC,Estudiantes de posgrado,,,,,,,
"Sornoza, Lissenia I.",57217198557,,ESPOL,Unidades Académicas,FIEC,Estudiantes de posgrado,,,,,,,
"Suárez, Patricia L.",57194765069,,ESPOL,Unidades Académicas,FIEC,Estudiantes de posgrado,,,,,,,
"Torres, Johnny",57189465593,,ESPOL,Unidades Académicas,FIEC,Estudiantes de posgrado,,,,,,,
"Asanza, Victor",57192640451,,ESPOL,Unidades Académicas,FIEC,Estudiantes de posgrado,,,,,,,
"Boza, Edwin F.",57196238001,,ESPOL,Unidades Académicas,FIEC,Estudiantes de posgrado,,,,,,,
"Chalén, Marjorie",57201590212,,ESPOL,Unidades Académicas,FIEC,Estudiantes de posgrado,,,,,,,
"Charco, Jorge L.",57208394659,,ESPOL,Unidades Académicas,FIEC,Estudiantes de posgrado,,,,,,,
"Cruz, Eduardo",57207568864,,ESPOL,Unidades Académicas,FIEC,Estudiantes de posgrado,,,,,,,
"Garcia, Juan Carlos",55757784126,,ESPOL,Unidades Académicas,FIEC,Estudiantes de posgrado,,,,,,,
"Jácome-Galarza, Luis Roberto",57190661994,,ESPOL,Unidades Académicas,FIEC,Estudiantes de posgrado,,,,,,,
"Magallanes, Jorge",57204396161,,ESPOL,Unidades Académicas,FIEC,Estudiantes de posgrado,,,,,,,
"Merchan, Freddy",57215834942,,ESPOL,Unidades Académicas,FIEC,Estudiantes de posgrado,,,,,,,
"Quevedo, Sebastian",57215834187,,ESPOL,Unidades Académicas,FIEC,Estudiantes de posgrado,,,,,,,
"Rivadeneira, Rafael E.",57210803558,,ESPOL,Unidades Académicas,FIEC,Estudiantes de posgrado,,,,,,,
"Sornoza, Lissenia I.",57217198557,,ESPOL,Unidades Académicas,FIEC,Estudiantes de posgrado,,,,,,,
"Cortez, Dennys D.",57209911972,,ESPOL,Unidades Académicas,FIEC,Estudiantes de posgrado,,,,,,,
"Asanza, Victor",57192640451,,ESPOL,Unidades Académicas,FIEC,Estudiantes de posgrado,,,,,,,
"Boza, Edwin F.",57196238001,,ESPOL,Unidades Académicas,FIEC,Estudiantes de posgrado,,,,,,,
"Chalén, Marjorie",57201590212,,ESPOL,Unidades Académicas,FIEC,Estudiantes de posgrado,,,,,,,
"Charco, Jorge L.",57208394659,,ESPOL,Unidades Académicas,FIEC,Estudiantes de posgrado,,,,,,,
"Cruz, Eduardo",57207568864,,ESPOL,Unidades Académicas,FIEC,Estudiantes de posgrado,,,,,,,
"Garcia, Juan Carlos",55757784126,,ESPOL,Unidades Académicas,FIEC,Estudiantes de posgrado,,,,,,,
"Jácome-Galarza, Luis Roberto",57190661994,,ESPOL,Unidades Académicas,FIEC,Estudiantes de posgrado,,,,,,,
"Magallanes, Jorge",57204396161,,ESPOL,Unidades Académicas,FIEC,Estudiantes de posgrado,,,,,,,
"Mendieta, Milton V.",57201689568,,ESPOL,Unidades Académicas,FIEC,Estudiantes de posgrado,,,,,,,
"Merchan, Freddy",57215834942,,ESPOL,Unidades Académicas,FIEC,Estudiantes de posgrado,,,,,,,
"Quelal, Rosa E.",57202791799,,ESPOL,Unidades Académicas,FIEC,Estudiantes de posgrado,,,,,,,
"Quevedo, Sebastian",57215834187,,ESPOL,Unidades Académicas,FIEC,Estudiantes de posgrado,,,,,,,
"Rivadeneira, Rafael E.",57210803558,,ESPOL,Unidades Académicas,FIEC,Estudiantes de posgrado,,,,,,,
"Sornoza, Lissenia I.",57217198557,,ESPOL,Unidades Académicas,FIEC,Estudiantes de posgrado,,,,,,,
"Cortez, Dennys D.",57209911972,,ESPOL,Unidades Académicas,FIEC,Estudiantes de posgrado,,,,,,,
"Altamirano, Luis M.",57202863855,,ESPOL,Unidades Académicas,FIMCM,Profesores,,,,,,,
"Andrade-García, Gina",57220068385,,ESPOL,Unidades Académicas,FIMCM,Profesores,,,,,,,
"Argüello-Guevara, W.",55445248900,,ESPOL,Unidades Académicas,FIMCM,Profesores,,,,,,,
"Bayot, Bonny",6504224308,,ESPOL,Unidades Académicas,FIMCM,Profesores,,,,,,,
Benites Daniela,57218948995,,ESPOL,Unidades Académicas,FIMCM,Becarios FIMCM,,,,,,,
"Borbor, Mercy Cordova",57200165308,,ESPOL,Unidades Académicas,FIMCM,Profesores,,,,,,,
"Burgos, Francisca A.",57194143469,,ESPOL,Unidades Académicas,FIMCM,Becarios FIMCM,,,,,,,
"Calles, Alba",57211586629,,ESPOL,Unidades Académicas,FIMCM,Profesores,,,,,,,
"Cedeño, Jonathan",57220067487,,ESPOL,Unidades Académicas,FIMCM,Profesores,,,,,,,
"Cervantes, Eduardo",57211587417,,ESPOL,Unidades Académicas,FIMCM,Profesores,,,,,,,
"Cornejo-Rodriguez, Maria del Pilar",57189254420,,ESPOL,Unidades Académicas,FIMCM,Profesores,,,,,,,
"Landívar, Jerry J.",57189731375,,ESPOL,Unidades Académicas,FIMCM,Profesores,,,,,,,
"Marquez, Adrian",37665506700,,ESPOL,Unidades Académicas,FIMCM,Profesores,,,,,,,
"Martillo, Carlos",56305394000,,ESPOL,Unidades Académicas,FIMCM,Profesores,,,,,,,
"Marín-López, José R.",57222641137,,ESPOL,Unidades Académicas,FIMCM,Profesores,,,,,,,
"Mendoza, Jorge I.",57329314300,,ESPOL,Unidades Académicas,FIMCM,Profesores,,,,,,,
"Munoz-Agila, Nadia",57218190165,,ESPOL,Unidades Académicas,FIMCM,Profesores,,,,,,,
"Muñoz-Naranjo, Marcelo",57201675885,,ESPOL,Unidades Académicas,FIMCM,Profesores,,,,,,,
"Nolivos-Alvarez, Indira",55184033800,,ESPOL,Unidades Académicas,FIMCM,Profesores,,,,,,,
"Ormaza-González, Franklin Isaac",6506478826,,ESPOL,Unidades Académicas,FIMCM,Profesores,,,,,,,
"Osorio, Victor",57200913770,,ESPOL,Unidades Académicas,FIMCM,Profesores,,,,,,,
"Paredes, Ruben J.",57193206570,,ESPOL,Unidades Académicas,FIMCM,Profesores,,,,,,,
Recalde Cristina,57188953799,,ESPOL,Unidades Académicas,FIMCM,Becarios FIMCM,,,,,,,
"Rincón, Gladys",55945280500,,ESPOL,Unidades Académicas,FIMCM,Profesores,,,,,,,
"Saltos-Andrade, Iván",57220072731,,ESPOL,Unidades Académicas,FIMCM,Profesores,,,,,,,
"Sonnenholzner, Stanislaus",18438697500,,ESPOL,Unidades Académicas,FIMCM,Profesores,,,,,,,
"Townsend, Patrick",57193334988,,ESPOL,Unidades Académicas,FIMCM,Profesores,,,,,,,
"Abad, Andres G.",55965684700,,ESPOL,Unidades Académicas,FIMCP,,,,,,,,
"Abad-Morán, Jorge",57201861538,,ESPOL,Unidades Académicas,FIMCP,,,,,,,,
"Adanaque-Bravo, Ingrid",57273930900,,ESPOL,Unidades Académicas,FIMCP,,,,,,,,
"Alcivar, Isabel",57034224300,,ESPOL,Unidades Académicas,FIMCP,,,,,,,,
"Amaya, Jorge Luis",57195837133,,ESPOL,Unidades Académicas,FIMCP,,,,,,,,
"Astudillo, Dolores",57220776692,,ESPOL,Unidades Académicas,FIMCP,,,,,,,,
"Barcia, Kleber F.",57201853216,,ESPOL,Unidades Académicas,FIMCP,,,,,,,,
"Baykara, Haci",9244086100,,ESPOL,Unidades Académicas,FIMCP,,,,,,,,
"Boero, Andrea Jael",57188681313,,ESPOL,Unidades Académicas,FIMCP,,,,,,,,
"Buestán, Marcos N.",57196019074,,ESPOL,Unidades Académicas,FIMCP,,,,,,,,
"Castillo-Orozco, Eduardo",56993767200,,ESPOL,Unidades Académicas,FIMCP,,,,,,,,
"Castro, Livingston D.",57205602462,,ESPOL,Unidades Académicas,FIMCP,,,,,,,,
"Coello, Karín E.",57224474382,,ESPOL,Unidades Académicas,FIMCP,,,,,,,,
"Cornejo, Fabiola",56403042100,,ESPOL,Unidades Académicas,FIMCP,,,,,,,,
"Cornejo, Mauricio Heriberto",57224322470,,ESPOL,Unidades Académicas,FIMCP,,,,,,,,
"Coronel-León, Jonathan",56538670900,,ESPOL,Unidades Académicas,FIMCP,,,,,,,,
"Criollo, Paulina",57220103944,,ESPOL,Unidades Académicas,FIMCP,,,,,,,,
"Cáceres, Patricio J.",55973941700,,ESPOL,Unidades Académicas,FIMCP,,,,,,,,
"Duque-Rivera, Jorge W.",55199480800,,ESPOL,Unidades Académicas,FIMCP,,,,,,,,
"Espinoza-Andaluz, Mayken",57221228898,,ESPOL,Unidades Académicas,FIMCP,,,,,,,,
"Fajardo-Pruna, Marcelo",57195539927,,ESPOL,Unidades Académicas,FIMCP,,,,,,,,
"Helguero, Carlos G.",57190195004,,ESPOL,Unidades Académicas,FIMCP,,,,,,,,
"Hurel, Jorge",55233927000,,ESPOL,Unidades Académicas,FIMCP,,,,,,,,
"Jervis, Freddy X.",36246339800,,ESPOL,Unidades Académicas,FIMCP,,,,,,,,
"Loayza, Francis R.",28267792700,,ESPOL,Unidades Académicas,FIMCP,,,,,,,,
"López, Sofía",57207759775,,ESPOL,Unidades Académicas,FIMCP,,,,,,,,
"Melendres, A. M.",57204766892,,ESPOL,Unidades Académicas,FIMCP,,,,,,,,
"Moreira, Cesar M.",34978993100,,ESPOL,Unidades Académicas,FIMCP,,,,,,,,
"Palacios, Sócrates",57194526625,,ESPOL,Unidades Académicas,FIMCP,,,,,,,,
"Palacios-Cabrera, Héctor",6504455658,,ESPOL,Unidades Académicas,FIMCP,,,,,,,,
"Paredes, Cecilia A.",7006458592,,ESPOL,Unidades Académicas,FIMCP,,,,,,,,
